n_params,n_requires,n_ensures,n_invariants,n_contracts_total,n_loc,has_self,has_other,requires_complexity,ensures_complexity,invariants_complexity,has_missing_requires,has_stateful_contract,n_old_refs,ensures_has_arith,ensures_has_cmp,ensures_has_old,invariants_has_old,invariants_has_cmp,n_snapshots,has_snapshot,snapshot_complexity,ensures_uses_snapshot,contract_has_prestate_reference,has_prestate_reference,n_branches,n_loops,n_returns,has_subscript,has_division,has_mutation,has_method_call,file,function,label
2,1,1,0,2,7,0,0,6,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example001.py,div,1
1,1,1,0,2,5,0,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example001.py,sqrt,0
1,1,2,0,3,6,0,0,9,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example001.py,mean,0
3,1,2,0,3,10,0,0,7,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,example001.py,clamp,0
2,1,0,1,2,4,1,0,6,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example002.py,__init__,0
2,1,1,1,3,5,1,0,6,8,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example002.py,deposit,0
2,1,1,1,3,6,1,0,6,8,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,example002.py,withdraw,1
3,1,2,1,4,9,1,1,6,16,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,example002.py,transfer_to,0
1,1,1,0,2,6,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,example003.py,reciprocal,1
1,1,1,0,2,6,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example003.py,abs_value,1
2,1,2,0,3,6,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,example003.py,maximum,0
1,1,2,0,3,6,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example003.py,impossible,1
1,1,1,0,2,5,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,example004.py,to_uppercase,0
1,1,1,0,2,5,0,0,9,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,example004.py,duplicate,0
2,1,1,0,2,6,0,0,6,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,example004.py,truncate,1
